x,y,code,title,major_group
-0.016347626,-0.00337263,1,Managers,1
-0.016511897,-0.0060074604,11,"Chief Executives, Senior Officials and Legislators",1
-0.016679887,0.008579219,111,Legislators and Senior Officials,1
-0.010352064,0.0097810505,1111,Legislators,1
-0.018502243,0.0061502876,1112,Senior Government Officials,1
-0.0067768684,0.012946432,1113,Traditional Chiefs and Heads of Villages,1
-0.015993703,0.0057046395,1114,Senior Officials of Special-interest Organizations,1
-0.0151393525,0.0077312896,112,Managing Directors and Chief Executives,1
-0.0151393525,0.0077312896,1120,Managing Directors and Chief Executives,1
-0.01737184,0.0021198804,12,Administrative and Commercial Managers,1
-0.017152363,0.010561081,121,Business Services and Administration Managers,1
-0.012721794,0.012041293,1211,Finance Managers,1
-0.011945401,0.0039393804,1212,Human Resource Managers,1
-0.01821198,0.012737294,1213,Policy and Planning Managers,1
-0.012386437,-0.0017472836,1219,Business Services and Administration Managers Not Elsewhere Classified,1
-0.011402419,0.016733775,122,"Sales, Marketing and Development Managers",1
-0.010650927,0.016546756,1221,Sales and Marketing Managers,1
-0.015015632,0.013510959,1222,Advertising and Public Relations Managers,1
-0.011989003,0.007870815,1223,Research and Development Managers,1
-0.007613856,-0.007027906,13,Production and Specialized Services Managers,1
0.0061842347,0.018566249,131,"Production Managers in Agriculture, Forestry and Fisheries",1
0.0061860047,0.016668925,1311,Agricultural and Forestry Production Managers,1
0.0016919778,0.017006982,1312,Aquaculture and Fisheries Production Managers,1
0.000635988,0.0012515794,132,"Manufacturing, Mining, Construction and Distribution Managers",1
0.006159141,0.0017954087,1321,Manufacturing Managers,1
-0.0041802255,0.004150409,1322,Mining Managers,1
-0.0040243976,0.0021785249,1323,Construction Managers,1
-0.006987549,0.008377352,1324,"Supply, Distribution and Related Managers",1
-0.0126765575,-0.006362572,133,Information and Communications Technology Service managers,1
-0.012533411,-0.0062256376,1330,Information and Communications Technology Service Managers,1
-0.022506671,0.0055459393,134,Professional Services Managers,1
-0.01714638,0.007148123,1341,Child Care Service Managers,1
-0.019775245,0.006861391,1342,Health Service Managers,1
-0.017225668,0.0043927724,1343,Aged Care Service Managers,1
-0.014555183,0.01055783,1344,Social Welfare Managers,1
-0.018842582,0.0031650965,1345,Education Managers,1
-0.013431856,0.007157328,1346,Financial and Insurance Services Branch managers,1
-0.016308343,-0.0028644346,1349,Professional Services Managers Not Elsewhere Classified,1
-0.011719037,-0.0019000401,14,"Hospitality, Retail and Other Services Managers",1
-0.013346611,0.01217197,141,Hotel and Restaurant Managers,1
-0.013156237,0.010593015,1411,Hotel Managers,1
-0.01200898,0.0130875325,1412,Restaurant Managers,1
-0.0051021366,0.011420081,142,Retail and Wholesale Trade Managers,1
-0.004835018,0.011488886,1420,Retail and Wholesale Trade Managers,1
-0.014136304,0.008698575,143,Other Services Managers,1
-0.015213342,0.009041566,1431,"Sports, Recreation and Cultural Centre Managers",1
-0.011164221,0.0050124903,1439,Services Managers Not Elsewhere Classified,1
-0.01029662,-0.0133303115,2,Professionals,2
-0.0071815704,-0.02024938,21,Science and Engineering Professionals,2
-0.00651264,-0.0070641115,211,Physical and Earth Science Professionals,2
-0.0044276426,-0.0046544806,2111,Physicists and Astronomers,2
-0.0069470825,0.0034805096,2112,Meteorologists,2
-0.0034597255,-0.0026564319,2113,Chemists,2
-0.0044208285,-0.0014647715,2114,Geologists and geophysicists,2
