x,y,code,title,major_group
5.7758603,7.8227453,1,Managers,1
5.932065,7.7869043,11,"Chief Executives, Senior Officials and Legislators",1
6.663914,7.734618,111,Legislators and Senior Officials,1
6.7331543,7.708905,1111,Legislators,1
6.624682,7.8479924,1112,Senior Government Officials,1
6.66853,7.591746,1113,Traditional Chiefs and Heads of Villages,1
6.626531,7.7157025,1114,Senior Officials of Special-interest Organizations,1
5.661703,7.834411,112,Managing Directors and Chief Executives,1
5.7589564,7.8115506,1120,Managing Directors and Chief Executives,1
5.782299,7.6965904,12,Administrative and Commercial Managers,1
5.519349,8.119742,121,Business Services and Administration Managers,1
5.6318216,7.3466277,1211,Finance Managers,1
5.9233956,8.274603,1212,Human Resource Managers,1
6.0488462,8.124969,1213,Policy and Planning Managers,1
7.562101,7.423467,1219,Business Services and Administration Managers Not Elsewhere Classified,1
5.229692,7.4389076,122,"Sales, Marketing and Development Managers",1
5.205223,7.431095,1221,Sales and Marketing Managers,1
5.2520356,7.3387523,1222,Advertising and Public Relations Managers,1
5.4070854,7.756586,1223,Research and Development Managers,1
5.725459,7.8838553,13,Production and Specialized Services Managers,1
9.412122,2.1048048,131,"Production Managers in Agriculture, Forestry and Fisheries",1
9.658817,2.0746615,1311,Agricultural and Forestry Production Managers,1
9.183814,2.2134504,1312,Aquaculture and Fisheries Production Managers,1
5.0536747,7.9962335,132,"Manufacturing, Mining, Construction and Distribution Managers",1
5.054534,7.969068,1321,Manufacturing Managers,1
5.011654,8.036903,1322,Mining Managers,1
4.84719,8.03034,1323,Construction Managers,1
5.2248945,7.8858833,1324,"Supply, Distribution and Related Managers",1
11.262175,7.93497,133,Information and Communications Technology Service managers,1
11.274534,7.943892,1330,Information and Communications Technology Service Managers,1
5.9890027,8.368913,134,Professional Services Managers,1
6.054301,8.547848,1341,Child Care Service Managers,1
5.994328,8.412827,1342,Health Service Managers,1
5.9850054,8.442535,1343,Aged Care Service Managers,1
6.220234,8.381425,1344,Social Welfare Managers,1
5.8885794,8.452944,1345,Education Managers,1
5.6054435,7.456028,1346,Financial and Insurance Services Branch managers,1
7.624223,7.4967556,1349,Professional Services Managers Not Elsewhere Classified,1
5.6771803,7.8625503,14,"Hospitality, Retail and Other Services Managers",1
5.3788075,8.13046,141,Hotel and Restaurant Managers,1
5.364098,8.173579,1411,Hotel Managers,1
5.3193007,8.0778055,1412,Restaurant Managers,1
4.9013457,7.394738,142,Retail and Wholesale Trade Managers,1
4.9029875,7.446983,1420,Retail and Wholesale Trade Managers,1
5.571285,8.318126,143,Other Services Managers,1
5.7072983,8.44127,1431,"Sports, Recreation and Cultural Centre Managers",1
5.539832,8.201149,1439,Services Managers Not Elsewhere Classified,1
8.000161,8.040205,2,Professionals,2
8.190912,7.9016695,21,Science and Engineering Professionals,2
9.441699,7.109317,211,Physical and Earth Science Professionals,2
9.374734,7.015356,2111,Physicists and Astronomers,2
9.270518,6.9714108,2112,Meteorologists,2
9.800174,7.145242,2113,Chemists,2
9.459711,6.9485183,2114,Geologists and geophysicists,2
6.3775387,6.794017,212,"Mathematicians, Actuaries and Statisticians",2
6.4356527,6.762512,2120,"Mathematicians, Actuaries and Statisticians",2
9.555388,7.584372,213,Life Science Professionals,2
9.512244,7.52522,2131,"Biologists, Botanists, Zoologists and Related Professionals",2
9.43254,2.419264,2132,"Farming, Forestry and Fisheries Advisers",2
9.24136,7.5611553,2133,Environmental Protection Professionals,2
10.591422,6.8875527,214,Engineering Professionals (excluding Electrotechnology),2
10.56325,6.818442,2141,Industrial and Production Engineers,2
10.438415,6.8302727,2142,Civil Engineers,2
10.377308,6.9649644,2143,Environmental Engineers,2
10.967193,6.6272526,2144,Mechanical Engineers,2
10.170632,7.061273,2145,Chemical Engineers,2
10.449758,4.4615374,2146,"Mining Engineers, Metallurgists and Related Professionals",2
8.460682,7.4240823,2149,Engineering Professionals Not Elsewhere Classified,2
10.751234,6.8996315,215,Electrotechnology Engineers,2
10.710621,6.854525,2151,Electrical Engineers,2
10.663555,6.891048,2152,Electronics Engineers,2
10.942719,7.301776,2153,Telecommunications Engineers,2
9.327722,6.233703,216,"Architects, Planners, Surveyors and Designers",2
9.4670515,6.047444,2161,Building Architects,2
9.382079,6.2175674,2162,Landscape Architects,2
11.788456,4.052923,2163,Product and Garment Designers,2
9.165905,6.308357,2164,Town and Traffic Planners,2
9.316206,6.5454564,2165,Cartographers and Surveyors,2
9.062483,6.012556,2166,Graphic and Multimedia Designers,2
8.24266,8.347525,22,Health Professionals,2
9.324748,8.778949,221,Medical Doctors,2
9.158748,8.989725,2211,Generalist Medical Practitioners,2
9.227512,8.927397,2212,Specialist Medical Practitioners,2
8.54586,9.034684,222,Nursing and Midwifery Professionals,2
8.552418,8.889733,2221,Nursing Professionals,2
8.486983,9.012356,2222,Midwifery Professionals,2
9.127585,9.1404705,223,Traditional and Complementary Medicine Professionals,2
9.147429,9.129716,2230,Traditional and Complementary Medicine Professionals,2
