x,y,code,title,major_group
-0.015819443,-0.0027217225,1,Managers,1
-0.014941964,-0.0027244063,11,"Chief Executives, Senior Officials and Legislators",1
-0.017896388,0.0011268117,111,Legislators and Senior Officials,1
-0.018138856,0.0033352163,1111,Legislators,1
-0.02059535,0.0016678132,1112,Senior Government Officials,1
-0.004462747,0.0013743428,1113,Traditional Chiefs and Heads of Villages,1
-0.02054174,0.00044105324,1114,Senior Officials of Special-interest Organizations,1
-0.018583637,-0.004649086,112,Managing Directors and Chief Executives,1
-0.019398948,-0.0030000536,1120,Managing Directors and Chief Executives,1
-0.013787897,-0.004058487,12,Administrative and Commercial Managers,1
-0.020476567,-0.0034061158,121,Business Services and Administration Managers,1
-0.017832806,-0.0025962195,1211,Finance Managers,1
-0.016067745,-0.004178106,1212,Human Resource Managers,1
-0.01845925,0.0025157467,1213,Policy and Planning Managers,1
-0.019550059,-0.003924414,1219,Business Services and Administration Managers Not Elsewhere Classified,1
-0.013504694,-0.000924025,122,"Sales, Marketing and Development Managers",1
-0.009998131,0.0020499795,1221,Sales and Marketing Managers,1
-0.0153092565,0.006981006,1222,Advertising and Public Relations Managers,1
-0.012705761,-0.0010914938,1223,Research and Development Managers,1
-0.0050856876,-0.008610957,13,Production and Specialized Services Managers,1
0.0030446823,-0.010258971,131,"Production Managers in Agriculture, Forestry and Fisheries",1
0.005746473,-0.0046068877,1311,Agricultural and Forestry Production Managers,1
-0.0012336847,-0.0013024629,1312,Aquaculture and Fisheries Production Managers,1
0.001339481,-0.011479829,132,"Manufacturing, Mining, Construction and Distribution Managers",1
0.0032815293,-0.009740586,1321,Manufacturing Managers,1
0.0031872615,-0.008071199,1322,Mining Managers,1
-0.005484576,-0.000833331,1323,Construction Managers,1
-0.0049630655,-0.0073127137,1324,"Supply, Distribution and Related Managers",1
-0.01309768,-0.004008492,133,Information and Communications Technology Service managers,1
-0.013789087,-0.0013960978,1330,Information and Communications Technology Service Managers,1
-0.02079661,-0.0010759142,134,Professional Services Managers,1
-0.015616167,0.0022784334,1341,Child Care Service Managers,1
-0.021477971,-0.00053119985,1342,Health Service Managers,1
-0.021073138,2.3596509e-05,1343,Aged Care Service Managers,1
-0.021298975,0.00041938623,1344,Social Welfare Managers,1
-0.01622959,0.0006670201,1345,Education Managers,1
-0.01502775,-0.0030586775,1346,Financial and Insurance Services Branch managers,1
-0.016280826,-0.0045116176,1349,Professional Services Managers Not Elsewhere Classified,1
-0.005498825,-0.0042435774,14,"Hospitality, Retail and Other Services Managers",1
-0.012170286,-0.0009724852,141,Hotel and Restaurant Managers,1
-0.012066875,0.002980512,1411,Hotel Managers,1
-0.007137984,-0.0008607932,1412,Restaurant Managers,1
-0.008606164,-0.0070471084,142,Retail and Wholesale Trade Managers,1
-0.007482286,-0.0058087893,1420,Retail and Wholesale Trade Managers,1
-0.0125620235,-0.0061167227,143,Other Services Managers,1
-0.013010996,0.0024910178,1431,"Sports, Recreation and Cultural Centre Managers",1
0.012503077,0.056506623,1439,Services Managers Not Elsewhere Classified,1
-0.011726938,0.0031439345,2,Professionals,2
0.0041046315,-0.001274852,21,Science and Engineering Professionals,2
-0.0019883367,0.0019061437,211,Physical and Earth Science Professionals,2
-0.0033170164,0.0110091595,2111,Physicists and Astronomers,2
0.0018680608,0.009008304,2112,Meteorologists,2
0.002807111,0.0029292635,2113,Chemists,2
0.004197855,0.0046608974,2114,Geologists and geophysicists,2
