x,y,code,title,major_group
11.790689,4.3474393,1,Managers,1
11.484332,4.26791,11,"Chief Executives, Senior Officials and Legislators",1
12.004952,4.5252037,111,Legislators and Senior Officials,1
11.997631,4.657882,1111,Legislators,1
11.993517,4.7337804,1112,Senior Government Officials,1
3.6750884,2.3914511,1113,Traditional Chiefs and Heads of Villages,1
11.876276,4.47873,1114,Senior Officials of Special-interest Organizations,1
11.739282,4.2998204,112,Managing Directors and Chief Executives,1
11.836244,4.2248106,1120,Managing Directors and Chief Executives,1
11.340037,4.201599,12,Administrative and Commercial Managers,1
11.775622,4.260901,121,Business Services and Administration Managers,1
11.602701,3.8270144,1211,Finance Managers,1
11.8276205,4.1347156,1212,Human Resource Managers,1
11.976464,4.515638,1213,Policy and Planning Managers,1
11.840382,4.3152223,1219,Business Services and Administration Managers Not Elsewhere Classified,1
10.077884,3.582918,122,"Sales, Marketing and Development Managers",1
9.933393,3.6908631,1221,Sales and Marketing Managers,1
10.176673,3.5627477,1222,Advertising and Public Relations Managers,1
11.851534,4.135666,1223,Research and Development Managers,1
11.227991,4.1200914,13,Production and Specialized Services Managers,1
3.9166632,3.1638517,131,"Production Managers in Agriculture, Forestry and Fisheries",1
3.8882499,2.9802885,1311,Agricultural and Forestry Production Managers,1
5.3621197,0.69609284,1312,Aquaculture and Fisheries Production Managers,1
8.524776,2.638482,132,"Manufacturing, Mining, Construction and Distribution Managers",1
8.47522,2.6476185,1321,Manufacturing Managers,1
7.9345903,2.257944,1322,Mining Managers,1
7.821635,3.2211154,1323,Construction Managers,1
9.281958,3.628403,1324,"Supply, Distribution and Related Managers",1
8.729024,-0.9298981,133,Information and Communications Technology Service managers,1
8.660856,-0.8629524,1330,Information and Communications Technology Service Managers,1
11.703192,4.6578813,134,Professional Services Managers,1
12.027149,0.622284,1341,Child Care Service Managers,1
11.69358,5.0551944,1342,Health Service Managers,1
11.667719,5.0352,1343,Aged Care Service Managers,1
11.79627,4.824979,1344,Social Welfare Managers,1
11.7926855,1.0376743,1345,Education Managers,1
11.326618,3.798051,1346,Financial and Insurance Services Branch managers,1
