x,y,code,title,major_group
-0.017328152,-0.0020717424,1,Managers,1
-0.016335867,-0.002834646,11,"Chief Executives, Senior Officials and Legislators",1
-0.018745089,0.0024425986,111,Legislators and Senior Officials,1
-0.016952146,0.008656916,1111,Legislators,1
-0.020979164,0.006742625,1112,Senior Government Officials,1
-0.0010533658,0.0063368324,1113,Traditional Chiefs and Heads of Villages,1
-0.021124003,0.0051036077,1114,Senior Officials of Special-interest Organizations,1
-0.020556761,-0.0036177174,112,Managing Directors and Chief Executives,1
-0.020837191,0.0019431806,1120,Managing Directors and Chief Executives,1
-0.01552946,-0.004210468,12,Administrative and Commercial Managers,1
-0.022153575,-0.0018743076,121,Business Services and Administration Managers,1
-0.018601418,0.0019048877,1211,Finance Managers,1
-0.017340599,-0.000488726,1212,Human Resource Managers,1
-0.01886968,0.0068876715,1213,Policy and Planning Managers,1
-0.021038072,-0.0025300987,1219,Business Services and Administration Managers Not Elsewhere Classified,1
-0.015099494,-0.0004900746,122,"Sales, Marketing and Development Managers",1
-0.011135816,0.004927298,1221,Sales and Marketing Managers,1
-0.015167231,0.01072829,1222,Advertising and Public Relations Managers,1
-0.012010456,0.002078129,1223,Research and Development Managers,1
-0.0078104166,-0.010308024,13,Production and Specialized Services Managers,1
-4.5390916e-06,-0.012380817,131,"Production Managers in Agriculture, Forestry and Fisheries",1
0.005485039,-0.005736605,1311,Agricultural and Forestry Production Managers,1
-0.00085035304,-0.0007902689,1312,Aquaculture and Fisheries Production Managers,1
-0.0024800042,-0.013448668,132,"Manufacturing, Mining, Construction and Distribution Managers",1
-0.0002684799,-0.010074959,1321,Manufacturing Managers,1
0.0007835491,-0.008043134,1322,Mining Managers,1
-0.008532471,0.0003373162,1323,Construction Managers,1
-0.007711768,-0.0056292308,1324,"Supply, Distribution and Related Managers",1
-0.014166285,-0.0044585573,133,Information and Communications Technology Service managers,1
-0.014633445,0.00070905045,1330,Information and Communications Technology Service Managers,1
-0.02165417,0.00066978316,134,Professional Services Managers,1
-0.015471162,0.004229374,1341,Child Care Service Managers,1
-0.021596758,0.003735487,1342,Health Service Managers,1
-0.02044093,0.004681163,1343,Aged Care Service Managers,1
-0.021022003,0.0047962135,1344,Social Welfare Managers,1
-0.016152496,0.0038620734,1345,Education Managers,1
-0.016835378,-0.00010229759,1346,Financial and Insurance Services Branch managers,1
-0.018194413,-0.0037056785,1349,Professional Services Managers Not Elsewhere Classified,1
-0.007618906,-0.0055049215,14,"Hospitality, Retail and Other Services Managers",1
-0.014273161,-0.0003440417,141,Hotel and Restaurant Managers,1
-0.013430434,0.007520737,1411,Hotel Managers,1
-0.008446747,0.0016514655,1412,Restaurant Managers,1
-0.011140578,-0.0069120196,142,Retail and Wholesale Trade Managers,1
-0.009868725,-0.0029903215,1420,Retail and Wholesale Trade Managers,1
-0.015056875,-0.0056016706,143,Other Services Managers,1
-0.014750137,0.0055104904,1431,"Sports, Recreation and Cultural Centre Managers",1
0.018264411,0.051346835,1439,Services Managers Not Elsewhere Classified,1
-0.011729043,0.002377946,2,Professionals,2
0.003424424,-0.005309899,21,Science and Engineering Professionals,2
-0.00300782,-0.0008906208,211,Physical and Earth Science Professionals,2
-0.0012046691,0.008921137,2111,Physicists and Astronomers,2
0.005101473,0.0066387174,2112,Meteorologists,2
0.0041476404,0.0015404017,2113,Chemists,2
0.0066159936,0.0020656204,2114,Geologists and geophysicists,2
-0.00947685,0.00243404,212,"Mathematicians, Actuaries and Statisticians",2
-0.0066559943,0.0061884797,2120,"Mathematicians, Actuaries and Statisticians",2
-0.0047080973,-0.0027756388,213,Life Science Professionals,2
0.0014479823,0.0022813322,2131,"Biologists, Botanists, Zoologists and Related Professionals",2
0.010260746,0.005401331,2132,"Farming, Forestry and Fisheries Advisers",2
-0.006639193,0.00034675334,2133,Environmental Protection Professionals,2
0.0049378322,-0.0120989345,214,Engineering Professionals (excluding Electrotechnology),2
0.0033549294,-0.012520988,2141,Industrial and Production Engineers,2
0.006477636,-0.0008287326,2142,Civil Engineers,2
0.00086390675,-0.0028494461,2143,Environmental Engineers,2
0.0112660155,-0.008385845,2144,Mechanical Engineers,2
0.0042748386,-0.006142121,2145,Chemical Engineers,2
0.0033596803,-0.007821055,2146,"Mining Engineers, Metallurgists and Related Professionals",2
0.0036535526,-0.0046154135,2149,Engineering Professionals Not Elsewhere Classified,2
-0.004399171,-0.007835193,215,Electrotechnology Engineers,2
0.0033253925,-0.005095529,2151,Electrical Engineers,2
-0.0013293739,-0.0049049607,2152,Electronics Engineers,2
-0.0013007977,-0.0037334058,2153,Telecommunications Engineers,2
-0.00075336394,-0.0018493946,216,"Architects, Planners, Surveyors and Designers",2
-0.004435719,0.00029439537,2161,Building Architects,2
-0.00286518,0.003028425,2162,Landscape Architects,2
0.0039368896,0.0002132784,2163,Product and Garment Designers,2
-0.005122087,0.0047559645,2164,Town and Traffic Planners,2
0.0017003696,-0.0021,2165,Cartographers and Surveyors,2
-0.0021666293,0.0019702604,2166,Graphic and Multimedia Designers,2
-0.008748724,0.002339432,22,Health Professionals,2
-0.018692026,0.0017975025,221,Medical Doctors,2
-0.017485032,0.0063672666,2211,Generalist Medical Practitioners,2
-0.018995225,0.005767277,2212,Specialist Medical Practitioners,2
-0.015212236,0.002766854,222,Nursing and Midwifery Professionals,2
-0.014793051,0.0057708854,2221,Nursing Professionals,2
-0.010789646,0.010781852,2222,Midwifery Professionals,2
-0.015131703,0.0047953045,223,Traditional and Complementary Medicine Professionals,2
-0.015751014,0.008705245,2230,Traditional and Complementary Medicine Professionals,2
-0.017926445,0.0009055684,224,Paramedical Practitioners,2
-0.017851772,0.0054678083,2240,Paramedical Practitioners,2
-0.008291274,0.0006946841,225,Veterinarians,2
-0.0056743915,0.0051406273,2250,Veterinarians,2
-0.014581941,0.0028680968,226,Other Health Professionals,2
-0.0032701169,0.0053028385,2261,Dentists,2
-0.009526991,0.003398326,2262,Pharmacists,2
-0.0012138014,0.00031348105,2263,Environmental and Occupational Health and Hygiene Professionals,2
-0.013869086,0.0060316827,2264,Physiotherapists,2
-0.011126127,0.008617868,2265,Dieticians and Nutritionists,2
-0.009478077,0.01045616,2266,Audiologists and Speech Therapists,2
-0.009552023,0.0071178083,2267,Optometrists and Ophthalmic Opticians,2
-0.013109466,0.0029309425,2269,Health Professionals Not Elsewhere Classified,2
-0.009981824,-0.00072558015,23,Teaching Professionals,2
-0.011436268,-0.0049284715,231,University and Higher Education Teachers,2
-0.011814834,-0.0009151753,2310,University and Higher Education Teachers,2
-0.0075150705,-0.008788644,232,Vocational education teachers,2
-0.007552868,-0.005074746,2320,Vocational Education Teachers,2
-0.01305935,-0.0022616058,233,Secondary Education Teachers,2
-0.014601883,0.0014795132,2330,Secondary Education Teachers,2
-0.012325906,3.662384e-05,234,Primary School and Early Childhood Teachers,2
-0.010124959,0.0032799707,2341,Primary School Teachers,2
-0.013653878,0.0061848145,2342,Early Childhood Educators,2
-0.015972551,0.0039177723,235,Other Teaching Professionals,2
-0.012328905,0.006142353,2351,Education Methods Specialists,2
-0.012684776,0.0046845945,2352,Special Needs Teachers,2
-0.009724622,0.0034381067,2353,Other Language Teachers,2
-0.011902182,0.0065268613,2354,Other Music Teachers,2
-0.012552943,0.0041280678,2355,Other Arts Teachers,2
-0.008733684,0.0029859238,2356,Information Technology Trainers,2
-0.012503143,0.00022171665,2359,Teaching Professionals Not Elsewhere Classified,2
-0.013227085,-0.004097608,24,Business and Administration Professionals,2
-0.017519929,-0.0018714119,241,Finance Professionals,2
-0.017782474,0.0001985041,2411,Accountants,2
-0.013169764,0.0065679057,2412,Financial and Investment Advisers,2
