x,y,code,title,major_group
5.4808116,8.190337,1,Managers,1
5.3923244,8.130247,11,"Chief Executives, Senior Officials and Legislators",1
5.2112904,7.8643584,111,Legislators and Senior Officials,1
5.1297135,7.807315,1111,Legislators,1
5.0453105,7.9006724,1112,Senior Government Officials,1
9.386003,3.1407256,1113,Traditional Chiefs and Heads of Villages,1
5.154472,8.035004,1114,Senior Officials of Special-interest Organizations,1
5.352298,8.211137,112,Managing Directors and Chief Executives,1
5.114318,8.225552,1120,Managing Directors and Chief Executives,1
5.5690455,8.358603,12,Administrative and Commercial Managers,1
5.3017488,8.294325,121,Business Services and Administration Managers,1
5.06848,8.404446,1211,Finance Managers,1
4.9724975,8.249525,1212,Human Resource Managers,1
4.9872537,8.095206,1213,Policy and Planning Managers,1
5.3644357,8.137862,1219,Business Services and Administration Managers Not Elsewhere Classified,1
5.963735,8.885032,122,"Sales, Marketing and Development Managers",1
6.2039685,9.330818,1221,Sales and Marketing Managers,1
5.9244637,9.071515,1222,Advertising and Public Relations Managers,1
5.020556,8.152685,1223,Research and Development Managers,1
5.7543063,8.375646,13,Production and Specialized Services Managers,1
8.550511,3.9627402,131,"Production Managers in Agriculture, Forestry and Fisheries",1
8.862909,3.6819093,1311,Agricultural and Forestry Production Managers,1
11.853572,6.621202,1312,Aquaculture and Fisheries Production Managers,1
7.8448706,6.6147733,132,"Manufacturing, Mining, Construction and Distribution Managers",1
7.9471827,6.5904512,1321,Manufacturing Managers,1
8.666608,5.8426995,1322,Mining Managers,1
8.616426,6.4844947,1323,Construction Managers,1
6.996565,9.109154,1324,"Supply, Distribution and Related Managers",1
11.4295435,9.154779,133,Information and Communications Technology Service managers,1
11.43565,9.097434,1330,Information and Communications Technology Service Managers,1
5.5619655,7.984525,134,Professional Services Managers,1
5.0086846,4.84485,1341,Child Care Service Managers,1
5.112594,7.343963,1342,Health Service Managers,1
5.0325065,7.374237,1343,Aged Care Service Managers,1
5.0789847,7.5915895,1344,Social Welfare Managers,1
5.222408,5.3444095,1345,Education Managers,1
5.0595875,8.590054,1346,Financial and Insurance Services Branch managers,1
5.491902,7.9361815,1349,Professional Services Managers Not Elsewhere Classified,1
5.839994,8.215621,14,"Hospitality, Retail and Other Services Managers",1
6.6137886,7.983111,141,Hotel and Restaurant Managers,1
6.6920643,8.043621,1411,Hotel Managers,1
6.958744,7.348403,1412,Restaurant Managers,1
6.3666587,8.995868,142,Retail and Wholesale Trade Managers,1
6.6408577,9.13673,1420,Retail and Wholesale Trade Managers,1
6.090471,8.026631,143,Other Services Managers,1
6.1707783,7.9540052,1431,"Sports, Recreation and Cultural Centre Managers",1
-22.259506,-0.9570889,1439,Services Managers Not Elsewhere Classified,1
5.9562483,5.3066177,2,Professionals,2
6.420567,5.28881,21,Science and Engineering Professionals,2
6.740835,5.2277074,211,Physical and Earth Science Professionals,2
6.673029,5.2066708,2111,Physicists and Astronomers,2
7.5065436,5.2363267,2112,Meteorologists,2
7.565228,5.040178,2113,Chemists,2
8.065314,5.408642,2114,Geologists and geophysicists,2
6.0232167,5.629927,212,"Mathematicians, Actuaries and Statisticians",2
6.014493,5.6496825,2120,"Mathematicians, Actuaries and Statisticians",2
7.322534,5.3203273,213,Life Science Professionals,2
7.2245665,4.9588976,2131,"Biologists, Botanists, Zoologists and Related Professionals",2
9.368444,3.7758574,2132,"Farming, Forestry and Fisheries Advisers",2
7.615483,5.5370607,2133,Environmental Protection Professionals,2
8.225626,6.183225,214,Engineering Professionals (excluding Electrotechnology),2
8.017193,6.4390864,2141,Industrial and Production Engineers,2
8.486475,6.2622685,2142,Civil Engineers,2
7.8263354,5.663339,2143,Environmental Engineers,2
10.689582,6.6645317,2144,Mechanical Engineers,2
7.9775157,5.0199127,2145,Chemical Engineers,2
8.863002,5.6163254,2146,"Mining Engineers, Metallurgists and Related Professionals",2
8.041335,5.7966046,2149,Engineering Professionals Not Elsewhere Classified,2
11.176374,7.543841,215,Electrotechnology Engineers,2
11.229923,7.476518,2151,Electrical Engineers,2
11.146482,7.9321613,2152,Electronics Engineers,2
11.220337,8.007645,2153,Telecommunications Engineers,2
8.198738,6.307058,216,"Architects, Planners, Surveyors and Designers",2
8.434062,6.290744,2161,Building Architects,2
8.336561,6.103962,2162,Landscape Architects,2
8.179753,6.320356,2163,Product and Garment Designers,2
8.221669,6.0067143,2164,Town and Traffic Planners,2
8.345323,5.774884,2165,Cartographers and Surveyors,2
8.222788,6.301937,2166,Graphic and Multimedia Designers,2
6.284495,5.227591,22,Health Professionals,2
2.244786,5.329594,221,Medical Doctors,2
2.220469,5.380572,2211,Generalist Medical Practitioners,2
2.1786728,5.3752394,2212,Specialist Medical Practitioners,2
2.3055556,5.5967875,222,Nursing and Midwifery Professionals,2
2.3119109,5.589891,2221,Nursing Professionals,2
2.2245228,5.597063,2222,Midwifery Professionals,2
2.5958462,5.1857653,223,Traditional and Complementary Medicine Professionals,2
2.5804777,5.214462,2230,Traditional and Complementary Medicine Professionals,2
2.130745,5.2641454,224,Paramedical Practitioners,2
2.0687294,5.4110413,2240,Paramedical Practitioners,2
8.469492,2.7928166,225,Veterinarians,2
8.499128,2.8177948,2250,Veterinarians,2
2.452283,5.017507,226,Other Health Professionals,2
2.0729306,4.8959627,2261,Dentists,2
2.1982756,5.0531077,2262,Pharmacists,2
7.657699,5.84779,2263,Environmental and Occupational Health and Hygiene Professionals,2
2.5115333,5.2482715,2264,Physiotherapists,2
6.848547,7.1233025,2265,Dieticians and Nutritionists,2
2.8194788,5.0065045,2266,Audiologists and Speech Therapists,2
2.0811164,4.8278675,2267,Optometrists and Ophthalmic Opticians,2
2.57883,5.1593823,2269,Health Professionals Not Elsewhere Classified,2
5.3624563,5.3463326,23,Teaching Professionals,2
5.8179955,5.3654733,231,University and Higher Education Teachers,2
5.6776934,5.4196544,2310,University and Higher Education Teachers,2
5.5198336,5.3493805,232,Vocational education teachers,2
5.4500375,5.3679833,2320,Vocational Education Teachers,2
5.3116775,5.2647524,233,Secondary Education Teachers,2
5.2775674,5.2810955,2330,Secondary Education Teachers,2
5.0860696,4.9083996,234,Primary School and Early Childhood Teachers,2
5.1785374,5.0501256,2341,Primary School Teachers,2
5.016564,4.8335824,2342,Early Childhood Educators,2
5.115972,5.435151,235,Other Teaching Professionals,2
5.3694777,5.278339,2351,Education Methods Specialists,2
4.979689,5.145946,2352,Special Needs Teachers,2
4.970249,5.257278,2353,Other Language Teachers,2
4.9801784,5.5021863,2354,Other Music Teachers,2
5.132325,5.4353137,2355,Other Arts Teachers,2
11.2829485,9.186383,2356,Information Technology Trainers,2
5.1971035,5.322892,2359,Teaching Professionals Not Elsewhere Classified,2
5.459004,8.529319,24,Business and Administration Professionals,2
4.9359717,8.807099,241,Finance Professionals,2
4.8929906,8.580147,2411,Accountants,2
5.159588,9.062876,2412,Financial and Investment Advisers,2
5.0773525,8.998305,2413,Financial Analysts,2
5.4401054,8.202947,242,Administration Professionals,2
4.967025,8.141729,2421,Management and Organization Analysts,2
5.1037116,7.7671123,2422,Policy Administration Professionals,2
4.3884525,8.258927,2423,Personnel and Careers Professionals,2
5.461911,5.3957515,2424,Training and Staff Development Professionals,2
6.1192017,9.159036,243,"Sales, Marketing and Public Relations Professionals",2
6.0910397,9.215926,2431,Advertising and Marketing Professionals,2
5.9794073,8.994238,2432,Public Relations Professionals,2
6.304546,9.387127,2433,Technical and Medical Sales Professionals (excluding ICT),2
6.631704,9.440091,2434,Information and Communications Technology Sales Professionals,2
11.405549,9.19411,25,Information and Communications Technology Professionals,2
11.430335,9.16969,251,Software and Applications Developers and Analysts,2
