x,y,code,title,major_group
-0.008778314,0.0016882833,1,Managers,1
-0.012395846,0.009289871,11,"Chief Executives, Senior Officials and Legislators",1
-0.013543803,0.011166242,111,Legislators and Senior Officials,1
-0.008252282,0.011347771,1111,Legislators,1
-0.015469484,0.0059123426,1112,Senior Government Officials,1
0.0028085504,0.020933466,1113,Traditional Chiefs and Heads of Villages,1
-0.015258184,0.0064077973,1114,Senior Officials of Special-interest Organizations,1
-0.00944973,-0.00048716197,112,Managing Directors and Chief Executives,1
-0.00944973,-0.00048716197,1120,Managing Directors and Chief Executives,1
-0.0115009,-0.0014325898,12,Administrative and Commercial Managers,1
-0.015135075,-0.0025619399,121,Business Services and Administration Managers,1
-0.011922853,0.0002438423,1211,Finance Managers,1
-0.013241632,0.001010057,1212,Human Resource Managers,1
-0.01100865,0.0029492963,1213,Policy and Planning Managers,1
-0.01447191,-0.0052543213,1219,Business Services and Administration Managers Not Elsewhere Classified,1
-0.010196451,0.0026668622,122,"Sales, Marketing and Development Managers",1
-0.010634046,0.0031746186,1221,Sales and Marketing Managers,1
-0.015577728,0.0018026914,1222,Advertising and Public Relations Managers,1
-0.011725793,-0.0017265572,1223,Research and Development Managers,1
0.0003297893,-0.008230607,13,Production and Specialized Services Managers,1
0.009348648,0.0126183955,131,"Production Managers in Agriculture, Forestry and Fisheries",1
0.009663809,0.0112804305,1311,Agricultural and Forestry Production Managers,1
0.0025897578,0.009296861,1312,Aquaculture and Fisheries Production Managers,1
0.0068387464,-0.0034744,132,"Manufacturing, Mining, Construction and Distribution Managers",1
0.008625319,-0.0066438843,1321,Manufacturing Managers,1
0.0021541698,-0.0069203633,1322,Mining Managers,1
-0.0010560794,-0.0019158537,1323,Construction Managers,1
0.002800615,-0.0005351663,1324,"Supply, Distribution and Related Managers",1
-0.012772669,-0.011689858,133,Information and Communications Technology Service managers,1
-0.012772669,-0.011689858,1330,Information and Communications Technology Service Managers,1
-0.017046029,-0.0025953928,134,Professional Services Managers,1
-0.0153621705,0.0013043827,1341,Child Care Service Managers,1
-0.019551339,-0.000111949776,1342,Health Service Managers,1
-0.015299608,-0.00023933238,1343,Aged Care Service Managers,1
-0.012261511,0.0063610114,1344,Social Welfare Managers,1
-0.016800784,-0.0014940214,1345,Education Managers,1
-0.009961739,-0.0033230146,1346,Financial and Insurance Services Branch managers,1
-0.016036656,-0.0046426854,1349,Professional Services Managers Not Elsewhere Classified,1
-0.010142458,0.003568994,14,"Hospitality, Retail and Other Services Managers",1
-0.010287279,0.0046408596,141,Hotel and Restaurant Managers,1
-0.010887673,0.0028400365,1411,Hotel Managers,1
-0.008854969,0.004802452,1412,Restaurant Managers,1
-0.0020399296,0.0049430816,142,Retail and Wholesale Trade Managers,1
-0.0020399296,0.0049430816,1420,Retail and Wholesale Trade Managers,1
-0.010105307,-0.0039412505,143,Other Services Managers,1
-0.013930301,0.0065393248,1431,"Sports, Recreation and Cultural Centre Managers",1
-0.00843671,-0.0067237527,1439,Services Managers Not Elsewhere Classified,1
-0.009098913,0.0027229176,2,Professionals,2
-0.0038010578,-0.010573433,21,Science and Engineering Professionals,2
-0.004290822,-0.0013567344,211,Physical and Earth Science Professionals,2
-0.0048821685,-0.002268524,2111,Physicists and Astronomers,2
-0.005630958,0.003436586,2112,Meteorologists,2
-0.000816835,-0.0050036483,2113,Chemists,2
-0.00013166312,0.0018799236,2114,Geologists and geophysicists,2
-0.011056281,0.0024319028,212,"Mathematicians, Actuaries and Statisticians",2
-0.011056281,0.0024319028,2120,"Mathematicians, Actuaries and Statisticians",2
-0.009145647,0.0035601533,213,Life Science Professionals,2
0.0029161442,0.013423485,2131,"Biologists, Botanists, Zoologists and Related Professionals",2
0.0019321899,0.016313862,2132,"Farming, Forestry and Fisheries Advisers",2
-0.0071130344,0.0027194463,2133,Environmental Protection Professionals,2
-0.0014799478,-0.015137719,214,Engineering Professionals (excluding Electrotechnology),2
0.009565424,-0.012877096,2141,Industrial and Production Engineers,2
0.00503598,-0.0077627385,2142,Civil Engineers,2
0.000841433,-0.00663681,2143,Environmental Engineers,2
0.008389695,-0.017026778,2144,Mechanical Engineers,2
0.0058814655,-0.016342973,2145,Chemical Engineers,2
0.009023051,-0.008601311,2146,"Mining Engineers, Metallurgists and Related Professionals",2
-0.0045398343,-0.013086337,2149,Engineering Professionals Not Elsewhere Classified,2
0.0029075295,-0.020779684,215,Electrotechnology Engineers,2
0.001187411,-0.017496178,2151,Electrical Engineers,2
-0.0002685165,-0.019744607,2152,Electronics Engineers,2
-0.005981363,-0.015040935,2153,Telecommunications Engineers,2
-0.00039036883,0.0021673208,216,"Architects, Planners, Surveyors and Designers",2
-0.00723713,-0.00070822996,2161,Building Architects,2
-0.004219798,0.0086901495,2162,Landscape Architects,2
0.009020964,-6.630398e-06,2163,Product and Garment Designers,2
0.0005611844,0.0013842375,2164,Town and Traffic Planners,2
0.0047033243,0.010487751,2165,Cartographers and Surveyors,2
-0.007817976,-0.0028716393,2166,Graphic and Multimedia Designers,2
-0.018290127,0.0036876563,22,Health Professionals,2
-0.015147886,0.004885245,221,Medical Doctors,2
-0.014649008,0.0030186547,2211,Generalist Medical Practitioners,2
-0.01652548,0.0012035649,2212,Specialist Medical Practitioners,2
-0.0136966985,0.006752782,222,Nursing and Midwifery Professionals,2
-0.016264847,0.0026487669,2221,Nursing Professionals,2
-0.01133689,0.0031130703,2222,Midwifery Professionals,2
-0.01364931,0.014011278,223,Traditional and Complementary Medicine Professionals,2
-0.013649299,0.014011243,2230,Traditional and Complementary Medicine Professionals,2
-0.013973909,-0.0032183002,224,Paramedical Practitioners,2
-0.013973909,-0.0032183002,2240,Paramedical Practitioners,2
-0.007310244,0.0038303572,225,Veterinarians,2
-0.007310244,0.0038303572,2250,Veterinarians,2
-0.018646091,0.0056777736,226,Other Health Professionals,2
-0.0089607155,0.0020495963,2261,Dentists,2
-0.012109226,0.0014375724,2262,Pharmacists,2
-0.007854398,0.0011003108,2263,Environmental and Occupational Health and Hygiene Professionals,2
-0.01138087,-0.0010008275,2264,Physiotherapists,2
-0.0066200052,0.01035309,2265,Dieticians and Nutritionists,2
-0.014751853,0.00065581466,2266,Audiologists and Speech Therapists,2
-0.0068781306,-0.0006562974,2267,Optometrists and Ophthalmic Opticians,2
-0.018878017,0.00083416415,2269,Health Professionals Not Elsewhere Classified,2
-0.019177381,0.001712821,23,Teaching Professionals,2
-0.01644215,0.0045212423,231,University and Higher Education Teachers,2
-0.01644215,0.0045212423,2310,University and Higher Education Teachers,2
-0.007932281,-0.0026244766,232,Vocational education teachers,2
-0.007932281,-0.0026244766,2320,Vocational Education Teachers,2
-0.013735211,0.0028644158,233,Secondary Education Teachers,2
-0.013735211,0.0028644158,2330,Secondary Education Teachers,2
-0.012719946,0.0066114347,234,Primary School and Early Childhood Teachers,2
-0.012059018,0.0073980945,2341,Primary School Teachers,2
-0.013298696,0.0046888385,2342,Early Childhood Educators,2
-0.017791102,0.0035485558,235,Other Teaching Professionals,2
-0.01291107,-0.0039184964,2351,Education Methods Specialists,2
-0.015601009,-0.0012404677,2352,Special Needs Teachers,2
-0.011703645,0.0064509735,2353,Other Language Teachers,2
-0.013505526,0.0028765122,2354,Other Music Teachers,2
-0.010155211,0.005949737,2355,Other Arts Teachers,2
-0.012302249,-0.008121206,2356,Information Technology Trainers,2
-0.01571699,-0.0005180274,2359,Teaching Professionals Not Elsewhere Classified,2
-0.01857355,0.0010027734,24,Business and Administration Professionals,2
-0.0111112725,0.0026327686,241,Finance Professionals,2
-0.011878758,0.0023395934,2411,Accountants,2
-0.016020136,0.003996389,2412,Financial and Investment Advisers,2
-0.0129373735,0.0014338545,2413,Financial Analysts,2
-0.019963078,-0.004909229,242,Administration Professionals,2
-0.012587994,-0.0025971432,2421,Management and Organization Analysts,2
-0.020064058,-0.0009961302,2422,Policy Administration Professionals,2
-0.015759533,-0.0034041596,2423,Personnel and Careers Professionals,2
-0.015519625,-0.0021768918,2424,Training and Staff Development Professionals,2
-0.015703,0.0070713367,243,"Sales, Marketing and Public Relations Professionals",2
-0.01431422,0.0071838987,2431,Advertising and Marketing Professionals,2
-0.017528944,0.0024827789,2432,Public Relations Professionals,2
-0.009772394,-0.003579212,2433,Technical and Medical Sales Professionals (excluding ICT),2
-0.012545178,-0.003317729,2434,Information and Communications Technology Sales Professionals,2
-0.015250423,-0.007459452,25,Information and Communications Technology Professionals,2
-0.010994638,-0.004371662,251,Software and Applications Developers and Analysts,2
-0.008578058,-0.010376859,2511,Systems Analysts,2
-0.00904128,-0.006482909,2512,Software Developers,2
-0.0077381334,-0.0047086272,2513,Web and Multimedia Developers,2
-0.005786537,-0.008549222,2514,Applications Programmers,2
-0.008757758,-0.007361526,2519,Software and Applications Developers and Analysts Not Elsewhere Classified,2
-0.010028701,-0.008702778,252,Database and Network Professionals,2
-0.008076617,-0.007589245,2521,Database Designers and Administrators,2
0.005448998,-0.014489672,2522,Systems Aministrators,2
-0.006077416,-0.012842412,2523,Computer Network Professionals,2
-0.013465446,-0.008781033,2529,Database and Network Professionals Not Elsewhere Classified,2
-0.017049735,0.0103707155,26,"Legal, Social and Cultural Professionals",2
-0.017123438,0.006513881,261,Legal Professionals,2
-0.012306746,0.0094925435,2611,Lawyers,2
-0.008235297,0.008491995,2612,Judges,2
-0.014119583,0.0028281366,2619,Legal Professionals Not Elsewhere Classified,2
-0.0061780754,0.0052216393,262,"Librarians, Archivists and Curators",2
-0.0046897763,0.003902976,2621,Archivists and Curators,2
-0.013597347,0.00028182208,2622,Librarians and Related Information Professionals,2
-0.01806349,0.013539363,263,Social and Religious Professionals,2
-0.0033335628,0.0103240805,2631,Economists,2
-0.007185456,0.01585326,2632,"Sociologists, Anthropologists and Related Professionals",2
-0.008419841,0.013412238,2633,"Philosophers, Historians and Political Scientists",2
-0.0150607405,0.0051871357,2634,Psychologists,2
-0.017658897,0.00853283,2635,Social Work and Counselling Professionals,2
-0.015793514,0.010866205,2636,Religious Professionals,2
-0.0053356295,0.008090002,264,"Authors, Journalists and Linguists",2
-0.0044911616,0.009665942,2641,Authors and Related Writers,2
-0.00914662,0.00725095,2642,Journalists,2
-0.0022036398,0.0026586005,2643,"Translators, Interpreters and Other Linguists",2
-0.005848693,0.0070734187,265,Creative and Performing Artists,2
-0.005005644,0.00025615012,2651,Visual Artists,2
-0.003348237,0.009501279,2652,"Musicians, Singers and Composers",2
-0.0044672824,0.008684612,2653,Dancers and Choreographers,2
-0.0027535954,0.0031297854,2654,"Film, Stage and Related Directors and Producers",2
-0.0046740193,0.0058199693,2655,Actors,2
-0.010121373,0.003419132,2656,"Announcers on Radio, Television and Other Media",2
-0.005408064,0.004386938,2659,Creative and Performing Artists Not Elsewhere Classified,2
-0.005371081,-0.013730625,3,Technicians and Associate Professionals,3
-0.00754342,-0.014739193,31,Science and Engineering Associate Professionals,3
0.0008630979,-0.020208057,311,Physical and Engineering Science Technicians,3
0.0001709928,-0.017871197,3111,Chemical and Physical Science Technicians,3
0.0035244562,-0.012571877,3112,Civil Engineering Technicians,3
-0.00040417616,-0.020187896,3113,Electrical Engineering Technicians,3
-0.0010857536,-0.021055091,3114,Electronics Engineering Technicians,3
0.005904929,-0.019718854,3115,Mechanical Engineering Technicians,3
0.0037715798,-0.018968442,3116,Chemical Engineering Technicians,3
0.006755698,-0.012510169,3117,Mining and metallurgical technicians,3
0.0064233975,0.005699649,3118,Draughtspersons,3
-0.00060314254,-0.019566195,3119,Physical and Engineering Science Technicians Not Elsewhere Classified,3
0.004899639,-0.009672322,312,"Mining, Manufacturing and Construction Supervisors",3
0.0073021385,-0.011553956,3121,Mining Supervisors,3
0.008237609,-0.012909669,3122,Manufacturing Supervisors,3
0.00030869426,-0.00486938,3123,Construction Supervisors,3
0.0022702666,-0.021409547,313,Process Control Technicians,3
0.011379406,-0.01142648,3131,Power Production Plant Operators,3
0.011159656,-0.007273291,3132,Incinerator and Water Treatment Plant Operators,3
0.016365841,-0.017492319,3133,Chemical Processing Plant Controllers,3
0.007526297,-0.007008396,3134,Petroleum and Natural Gas Refining Plant Operators,3
0.019623566,-0.019259002,3135,Metal Production Process Controllers,3
-8.2502185e-05,-0.021971747,3139,Process Control Technicians Not Elsewhere Classified,3
-0.005961371,-0.0052121,314,Life Science Technicians and Related Associate Professionals,3
-0.0046589337,-0.003925372,3141,Life Science Technicians (excluding Medical),3
0.0074149044,0.0043955017,3142,Agricultural Technicians,3
