x,y,code,title,major_group
9.172195,3.579066,1,Managers,1
7.886378,0.7455324,11,"Chief Executives, Senior Officials and Legislators",1
7.934875,0.5761567,111,Legislators and Senior Officials,1
7.979285,0.61089045,1111,Legislators,1
7.998391,0.64435256,1112,Senior Government Officials,1
13.302176,8.5296135,1113,Traditional Chiefs and Heads of Villages,1
7.980147,0.62328386,1114,Senior Officials of Special-interest Organizations,1
7.822269,1.2031342,112,Managing Directors and Chief Executives,1
7.812145,1.2400702,1120,Managing Directors and Chief Executives,1
8.088376,1.6776611,12,Administrative and Commercial Managers,1
8.254469,1.8579569,121,Business Services and Administration Managers,1
7.42761,2.0953138,1211,Finance Managers,1
8.562068,1.725077,1212,Human Resource Managers,1
8.656133,1.6072111,1213,Policy and Planning Managers,1
8.567145,2.036946,1219,Business Services and Administration Managers Not Elsewhere Classified,1
8.0182,2.0664725,122,"Sales, Marketing and Development Managers",1
7.9047527,2.1319604,1221,Sales and Marketing Managers,1
7.9457607,1.7217878,1222,Advertising and Public Relations Managers,1
8.204654,1.8741083,1223,Research and Development Managers,1
8.652036,2.0827153,13,Production and Specialized Services Managers,1
12.943712,7.6416993,131,"Production Managers in Agriculture, Forestry and Fisheries",1
13.054568,7.4679685,1311,Agricultural and Forestry Production Managers,1
12.703555,7.8767385,1312,Aquaculture and Fisheries Production Managers,1
10.385364,4.123396,132,"Manufacturing, Mining, Construction and Distribution Managers",1
10.097507,3.9318867,1321,Manufacturing Managers,1
10.364905,4.129578,1322,Mining Managers,1
10.713388,4.261025,1323,Construction Managers,1
8.05642,2.3367126,1324,"Supply, Distribution and Related Managers",1
11.102497,2.5287728,133,Information and Communications Technology Service managers,1
11.140242,2.5947824,1330,Information and Communications Technology Service Managers,1
8.750144,1.809178,134,Professional Services Managers,1
8.9521055,1.7173244,1341,Child Care Service Managers,1
8.817997,1.6516289,1342,Health Service Managers,1
8.756558,1.6322113,1343,Aged Care Service Managers,1
8.782817,1.427079,1344,Social Welfare Managers,1
9.863544,-0.6256177,1345,Education Managers,1
7.6291428,2.084303,1346,Financial and Insurance Services Branch managers,1
8.722902,2.012909,1349,Professional Services Managers Not Elsewhere Classified,1
8.048053,2.2184875,14,"Hospitality, Retail and Other Services Managers",1
8.371617,3.9883404,141,Hotel and Restaurant Managers,1
8.402519,3.9982185,1411,Hotel Managers,1
8.655328,3.961739,1412,Restaurant Managers,1
7.9351215,2.2904654,142,Retail and Wholesale Trade Managers,1
7.95768,2.249552,1420,Retail and Wholesale Trade Managers,1
8.710021,1.9192879,143,Other Services Managers,1
